Model,Storage,Status,Quality,Price
IPHONE 16,256GB,unlocked,flawless,$472.17
IPHONE 16,256GB,unlocked,good,$442.00
IPHONE 16,256GB,unlocked,fair,$367.00
IPHONE 16,256GB,unlocked,damaged,$290.00
IPHONE 16,512GB,locked,flawless,$410.00
IPHONE 16,512GB,locked,good,$361.00
IPHONE 16,512GB,locked,fair,$297.00
IPHONE 16,512GB,locked,damaged,$246.00
IPHONE 16,512GB,unlocked,flawless,$516.00
IPHONE 16,512GB,unlocked,good,$472.00
IPHONE 16,512GB,unlocked,fair,$397.00
IPHONE 16,512GB,unlocked,damaged,$340.00
IPHONE 16 PLUS,128GB,locked,flawless,$411.48
IPHONE 16 PLUS,128GB,locked,good,$382.00
IPHONE 16 PLUS,128GB,locked,fair,$309.00
IPHONE 16 PLUS,128GB,locked,damaged,$221.00
IPHONE 16 PLUS,128GB,unlocked,flawless,$420.17
IPHONE 16 PLUS,128GB,unlocked,good,$420.17
IPHONE 16 PLUS,128GB,unlocked,fair,$394.09
IPHONE 16 PLUS,128GB,unlocked,damaged,$259.00
IPHONE 16 PLUS,256GB,locked,flawless,$460.00
IPHONE 16 PLUS,256GB,locked,good,$421.00
IPHONE 16 PLUS,256GB,locked,fair,$349.00
IPHONE 16 PLUS,256GB,locked,damaged,$261.00
IPHONE 16 PLUS,256GB,unlocked,flawless,$512.17
IPHONE 16 PLUS,256GB,unlocked,good,$512.17
IPHONE 16 PLUS,256GB,unlocked,fair,$446.00
IPHONE 16 PLUS,256GB,unlocked,damaged,$319.00
IPHONE 16 PLUS,512GB,locked,flawless,$498.00
IPHONE 16 PLUS,512GB,locked,good,$457.00
IPHONE 16 PLUS,512GB,locked,fair,$383.00
IPHONE 16 PLUS,512GB,locked,damaged,$306.00
IPHONE 16 PLUS,512GB,unlocked,flawless,$606.00
IPHONE 16 PLUS,512GB,unlocked,good,$576.00
IPHONE 16 PLUS,512GB,unlocked,fair,$481.00
IPHONE 16 PLUS,512GB,unlocked,damaged,$349.00
IPHONE 16 PRO,1TB,locked,flawless,$479.48
IPHONE 16 PRO,1TB,locked,good,$479.48
IPHONE 16 PRO,1TB,locked,fair,$462.09
IPHONE 16 PRO,1TB,locked,damaged,$445.00
IPHONE 16 PRO,1TB,unlocked,flawless,$488.17
IPHONE 16 PRO,1TB,unlocked,good,$488.17
IPHONE 16 PRO,1TB,unlocked,fair,$462.09
IPHONE 16 PRO,1TB,unlocked,damaged,$444.70
IPHONE 16 PRO,128GB,locked,flawless,$499.00
IPHONE 16 PRO,128GB,locked,good,$462.00
IPHONE 16 PRO,128GB,locked,fair,$387.00
IPHONE 16 PRO,128GB,locked,damaged,$256.00
IPHONE 16 PRO,128GB,unlocked,flawless,$554.99
IPHONE 16 PRO,128GB,unlocked,good,$522.00
IPHONE 16 PRO,128GB,unlocked,fair,$456.00
IPHONE 16 PRO,128GB,unlocked,damaged,$316.00
IPHONE 16 PRO,256GB,locked,flawless,$527.48
IPHONE 16 PRO,256GB,locked,good,$507.00
IPHONE 16 PRO,256GB,locked,fair,$431.00
IPHONE 16 PRO,256GB,locked,damaged,$325.00
IPHONE 16 PRO,256GB,unlocked,flawless,$536.17
IPHONE 16 PRO,256GB,unlocked,good,$536.17
IPHONE 16 PRO,256GB,unlocked,fair,$506.00
IPHONE 16 PRO,256GB,unlocked,damaged,$415.00
IPHONE 16 PRO,512GB,locked,flawless,$569.00
IPHONE 16 PRO,512GB,locked,good,$537.00
IPHONE 16 PRO,512GB,locked,fair,$471.00
IPHONE 16 PRO,512GB,locked,damaged,$390.00
IPHONE 16 PRO,512GB,unlocked,flawless,$604.17
IPHONE 16 PRO,512GB,unlocked,good,$604.17
IPHONE 16 PRO,512GB,unlocked,fair,$546.00
IPHONE 16 PRO,512GB,unlocked,damaged,$485.00
IPHONE 16 PRO MAX,1TB,locked,flawless,$751.48
IPHONE 16 PRO MAX,1TB,locked,good,$727.00
IPHONE 16 PRO MAX,1TB,locked,fair,$641.00
IPHONE 16 PRO MAX,1TB,locked,damaged,$525.00
